"5042","1321","5","2021-01-14","2024-01-13",NULL,"TABLEROS DE BAJA TENSIÓN ","ABB COLOMBIA LTDA","RETIE","Vigente ",,"0"
"5041","538","5","2018-04-26","2021-04-25",NULL,"DESCARGADORES DE SOBRETENSIÓN","HUBBELL POWER SYSTEMS., INC.","IEC 60099-4 Surge arresters - Part 4: Metal-oxide surge arresters without gaps for a.c. systems","Cancelado","Ninguno","0"
"3612","CP-A-021","4","2013-01-30","2014-01-30","0000-00-00","LAMPARA DE MESA FLUORESCENTE CIRCULAR FABRICADO ZHEJIANG LIANGLON ELECTRON","ELECTTRON COLOMBIA SAS","RETILAP","Cancelado","Ninguna","NA"
"3613","CP-A-021A","4","2013-01-30","2014-01-30","0000-00-00","LAMPARAS DE MESA FABRICADO ELECTRONICA STEREN","ELECTTRON COLOMBIA SAS","RETILAP","Cancelado","Ninguna","NA"
"3614","CP-A-022","4","2013-01-07","2014-01-07","0000-00-00","CANALETAS PVC FABRICADO CHANGZHOU YANGTSE INTERNACIONAL","ELECTTRON COLOMBIA SAS","RETIE","Cancelado","Ninguna","NA"
"3615","CP-A-022A","4","2013-02-07","2014-02-07","0000-00-00","CANALETAS PVC FABRICADO ELECTRON STEREN","ELECTTRON COLOMBIA SAS","RETIE","Cancelado","Ninguna","NA"
"3616","CP-A-023","4","2013-02-25","2014-02-25","0000-00-00","INTERRUPTOR INALÁMBRICO","ELECTTRON COLOMBIA SAS","RETIE","Cancelado","Ninguna","NA"
"3617","CP-A-024","4","2013-02-25","2014-02-25","0000-00-00","EXTENSIONES","ELECTTRON COLOMBIA SAS","RETIE","Cancelado","Ninguna","NA"
"3618","CP-A-025","4","2013-10-11","2014-03-19","0000-00-00","TUBOS LED T8-18W","TDI SISTEMAS LATAM SAS","RETILAP","Cancelado","Ninguna","NA"
"3619","CP-A-026","4","2013-06-05","2014-06-05","0000-00-00","LUMINARIAS Y ARREGLOS LED MARCA STIL LED","STAND ILUMINACIONES S.A.S","RETILAP","Cancelado","Ninguna","NA"
"3620","CP-A-027","4","2013-06-21","2014-06-21","0000-00-00","FIGURAS ILUMINADAS","HI COLOMBIA SAS","RETILAP","Cancelado","Ninguna","NA"
"3621","CP-A-028","4","2013-06-28","2014-06-28","0000-00-00","CANALETA DE ALUMNINO FABRICADO ELECTRONICA STEREN","ELECTTRON COLOMBIA SAS","RETIE","Cancelado","Ninguna","NA"
